GraphSize,MeanTime,StdDev,ConfInterval,IsNarrowInterval,OptimalSize,MeanHeuristicSize,ApproximationRatio,OptimalMatchRate
10,4.5324,2.10969,0.0413499,1,8,8,1,1
15,2.0422,1.45046,0.028429,1,6,6,1,1
20,1.1918,0.891231,0.0174681,1,4,4,1,1
25,4.0133,1.9885,0.0389745,1,8,7,0.875,0
30,2.0404,0.628019,0.0123092,1,5,5,1,1
0,1.0424,0.543352,0.0106497,1,4,4,1,1
33,6.0995,0.68165,0.0133603,1,9,9,1,1
0,4.0392,0.533565,0.0104579,1,7,7,1,1
-1717986918,2.0152,0.341732,0.00669794,1,4,3,0.75,0
1070176665,8.2685,2.74979,0.053896,1,10,9,0.9,0
-1717986918,5.3612,1.76319,0.0345586,1,7,7,1,1
1071225241,3.0154,0.268645,0.00526544,1,5,4,0.8,0
858993459,13.4866,0.889325,0.0174308,1,12,12,1,1
1071854387,8.1289,3.29505,0.064583,1,7,7,1,1
1041,6.2611,2.26672,0.0444278,1,6,6,1,1
